安吉诚运鑫车场,an'ji'cheng'yun'xin'che'chang
青秀越秀路口,qing'xiu'yue'xiu'lu'kou
青秀中柬路口,qing'xiu'zhong'jian'lu'kou
青秀中马路口,qing'xiu'zhong'ma'lu'kou
区党委统战部,qu'dang'wei'tong'zhan'bu
区党校,qu'dang'xiao
区妇幼,qu'fu'you
区工商局,qu'gong'shang'ju
区交通科研所,qu'jiao'tong'ke'yan'suo
区体育场,qu'ti'yu'chang
区医院,qu'yi'yuan
区医院一分院,qu'yi'yuan'yi'fen'yuan
区政协,qu'zheng'xie
热作所,re'zuo'suo
人民北大路口,ren'min'bei'da'lu'kou
人民公园,ren'min'gong'yuan
人民解放路口,ren'min'jie'fang'lu'kou
人民西关路口,ren'min'xi'guan'lu'kou
人民永宁路口,ren'min'yong'ning'lu'kou
人民友爱路口,ren'min'you'ai'lu'kou
人民朝阳路口,ren'min'zhao'yang'lu'kou
荣和大地,rong'he'da'di
荣和山水美地,rong'he'shan'shui'mei'di
荣和新城,rong'he'xin'cheng
蓉茉长福路口,rong'mo'chang'fu'lu'kou
蓉茉牛岭路口,rong'mo'niu'ling'lu'kou
蓉茉通福路口,rong'mo'tong'fu'lu'kou
融晟公园大地,rong'sheng'gong'yuan'da'di
榕树根,rong'shu'gen
肉联厂,rou'lian'chang
瑞康医院,rui'kang'yi'yuan
三棵树,san'ke'shu
三塘,san'tang
三塘政府二区,san'tang'zheng'fu'er'qu
三医院,san'yi'yuan
沙江桥,sha'jiang'qiao
沙井大道中,sha'jing'da'dao'zhong
沙井定津路口,sha'jing'ding'jin'lu'kou
沙井金鸡路口,sha'jing'jin'ji'lu'kou
沙井南站路口,sha'jing'nan'zhan'lu'kou
沙井农贸市场,sha'jing'nong'mao'shi'chang
沙井商贸城,sha'jing'shang'mao'cheng
沙井市场,sha'jing'shi'chang
沙井铁路立交,sha'jing'tie'lu'li'jiao
沙井亭洪路口,sha'jing'ting'hong'lu'kou
沙井五一路口,sha'jing'wu'yi'lu'kou
山场,shan'chang
上水人家,shang'shui'ren'jia
上洲,shang'zhou
社会主义学院,she'hui'zhu'yi'xue'yuan
胜利桥,sheng'li'qiao
石埠东,shi'bu'dong
石埠路口,shi'bu'lu'kou
石埠奶场,shi'bu'nai'chang
石埠派出所,shi'bu'pai'chu'suo
石埠收费站,shi'bu'shou'fei'zhan
石埠圩街,shi'bu'xu'jie
石埠中学,shi'bu'zhong'xue
市党校,shi'dang'xiao
市第四职高,shi'di'si'zhi'gao
市第一看守所,shi'di'yi'kan'shou'suo
十二公里,shi'er'gong'li
市二医院,shi'er'yi'yuan
市福利院,shi'fu'li'yuan
市环保局,shi'huan'bao'ju
石门森林公园,shi'men'sen'lin'gong'yuan
市三医院,shi'san'yi'yuan
狮山公园,shi'shan'gong'yuan
石狮子,shi'shi'zi
市蔬菜研究基地,shi'shu'cai'yan'jiu'ji'di
市四十三中,shi'si'shi'san'zhong
市一医院,shi'yi'yi'yuan
石油站路口,shi'you'zhan'lu'kou
市政府,shi'zheng'fu
市中级法院,shi'zhong'ji'fa'yuan
石柱岭,shi'zhu'ling
十字街,shi'zi'jie
狮子口,shi'zi'kou
蔬菜研究所,shu'cai'yan'jiu'suo
双拥桂春路口,shuang'yong'gui'chun'lu'kou
双拥路中,shuang'yong'lu'zhong
双拥青山路口,shuang'yong'qing'shan'lu'kou
水电区玉洞小区,shui'dian'qu'yu'dong'xiao'qu
水牛所,shui'niu'suo
水牛所桥头,shui'niu'suo'qiao'tou
四分场,si'fen'chang
四塘中学,si'tang'zhong'xue
思贤东葛路口,si'xian'dong'ge'lu'kou
思贤建政路口,si'xian'jian'zheng'lu'kou
思贤民主路口,si'xian'min'zhu'lu'kou
松柏村,song'bai'cun
松柏新村,song'bai'xin'cun
宋厢村路口,song'xiang'cun'lu'kou
苏卢,su'lu
苏芦,su'lu
苏卢农贸市场,su'lu'nong'mao'shi'chang
苏芦农贸市场,su'lu'nong'mao'shi'chang
苏州中华路口,su'zhou'zhong'hua'lu'kou
坛里村口,tan'li'cun'kou
坛里林场,tan'li'lin'chang
唐山北湖路口,tang'shan'bei'hu'lu'kou
唐山路中,tang'shan'lu'zhong
桃花源祈福城,tao'hua'yuan'qi'fu'cheng
桃源教育路口,tao'yuan'jiao'yu'lu'kou
桃源路中,tao'yuan'lu'zhong
桃源双拥路口,tao'yuan'shuang'yong'lu'kou
体育休闲公园,ti'yu'xiu'xian'gong'yuan
天池山,tian'chi'shan
天池山庄,tian'chi'shan'zhuang
天地源建材市场,tian'di'yuan'jian'cai'shi'chang
天桃七星路口,tian'tao'qi'xing'lu'kou
天桃桃源路口,tian'tao'tao'yuan'lu'kou
铁道路口,tie'dao'lu'kou
铁二局,tie'er'ju
亭洪路东,ting'hong'lu'dong
亭洪路中,ting'hong'lu'zhong
亭洪南建路口,ting'hong'nan'jian'lu'kou
亭洪石柱岭路口,ting'hong'shi'zhu'ling'lu'kou
亭洪星光路口,ting'hong'xing'guang'lu'kou
亭洪星光路口东,ting'hong'xing'guang'lu'kou'dong
亭江白沙路口,ting'jiang'bai'sha'lu'kou
亭江金象路口,ting'jiang'jin'xiang'lu'kou
亭江路南,ting'jiang'lu'nan
亭江亭高路口,ting'jiang'ting'gao'lu'kou
亭江亭洪路口,ting'jiang'ting'hong'lu'kou
亭子,ting'zi
亭子站,ting'zi'zhan
通福北二里,tong'fu'bei'er'li
通福开泰路口,tong'fu'kai'tai'lu'kou
通福蓉茉路口,tong'fu'rong'mo'lu'kou
同乐贤明路口,tong'le'xian'ming'lu'kou
同乐智和路口,tong'le'zhi'he'lu'kou
同乐智兴路口,tong'le'zhi'xing'lu'kou
通泰蓉茉路口,tong'tai'rong'mo'lu'kou
通源金凯路口,tong'yuan'jin'kai'lu'kou
屯里,tun'li
屯头坡,tun'tou'po
万泰隆建材市场,wan'tai'long'jian'cai'shi'chang
望园东葛路口,wang'yuan'dong'ge'lu'kou
望园广园路口,wang'yuan'guang'yuan'lu'kou
望州北二里路口,wang'zhou'bei'er'li'lu'kou
望州北二里南,wang'zhou'bei'er'li'nan
望州北二里中,wang'zhou'bei'er'li'zhong
望州岭站,wang'zhou'ling'zhan
望州路,wang'zhou'lu
望州路中,wang'zhou'lu'zhong
望州明秀路口,wang'zhou'ming'xiu'lu'kou
望州南路南,wang'zhou'nan'lu'nan
望州南小区,wang'zhou'nan'xiao'qu
望州兴望路口,wang'zhou'xing'wang'lu'kou
文化宫,wen'hua'gong
文物苑,wen'wu'yuan
五合街,wu'he'jie
武警南宁分院,wu'jing'nan'ning'fen'yuan
武警医院,wu'jing'yi'yuan
五里亭,wu'li'ting
五四部队,wu'si'bu'dui
五象东风路口,wu'xiang'dong'feng'lu'kou
五象广场,wu'xiang'guang'chang
五象金象路口,wu'xiang'jin'xiang'lu'kou
五象金阳路口,wu'xiang'jin'yang'lu'kou
五象龙岗大道路口,wu'xiang'long'gang'da'dao'lu'kou
五象平乐路口,wu'xiang'ping'le'lu'kou
五象荣光路口,wu'xiang'rong'guang'lu'kou
五象团结路口,wu'xiang'tuan'jie'lu'kou
五象银海路口,wu'xiang'yin'hai'lu'kou
五象银沙路口,wu'xiang'yin'sha'lu'kou
五象友谊路口,wu'xiang'you'yi'lu'kou
五象壮锦路口,wu'xiang'zhuang'jin'lu'kou
吴圩,wu'xu
吴圩机场,wu'xu'ji'chang
吴圩桥,wu'xu'qiao
五一北二里路口,wu'yi'bei'er'li'lu'kou
五一北一里路口,wu'yi'bei'yi'li'lu'kou
五一富德路口,wu'yi'fu'de'lu'kou
五一富乐路口,wu'yi'fu'le'lu'kou
五一立交,wu'yi'li'jiao
五一路西,wu'yi'lu'xi
五一路中,wu'yi'lu'zhong
五一南建立交,wu'yi'nan'jian'li'jiao
五一南建路口,wu'yi'nan'jian'lu'kou
五一清川路口,wu'yi'qing'chuan'lu'kou
五一沙井路口,wu'yi'sha'jing'lu'kou
五一铁路立交,wu'yi'tie'lu'li'jiao
五一站,wu'yi'zhan
西大东门,xi'da'dong'men
西大西门,xi'da'xi'men
西大行健文理学院,xi'da'xing'jian'wen'li'xue'yuan
西津村,xi'jin'cun
西九高六路口,xi'jiu'gao'liu'lu'kou
西九高四路口,xi'jiu'gao'si'lu'kou
西民村委会,xi'min'cun'wei'hui
西民老村,xi'min'lao'cun
西明老村,xi'ming'lao'cun
西明老村会,xi'ming'lao'cun'hui
西区路口,xi'qu'lu'kou
西十高三路口,xi'shi'gao'san'lu'kou
西十高四路口,xi'shi'gao'si'lu'kou
西十高五路口,xi'shi'gao'wu'lu'kou
西十科园路口,xi'shi'ke'yuan'lu'kou
西乡塘公交站,xi'xiang'tang'gong'jiao'zhan
西乡塘客运站,xi'xiang'tang'ke'yun'zhan
西乡塘市场,xi'xiang'tang'shi'chang
下丹桥,xia'dan'qiao
下埌村,xia'lang'cun
下石埠,xia'shi'bu
下洲,xia'zhou
先锋农场,xian'feng'nong'chang
仙葫大道路口,xian'hu'da'dao'lu'kou
仙葫大道中,xian'hu'da'dao'zhong
仙葫管委会,xian'hu'guan'wei'hui
仙葫开泰路口,xian'hu'kai'tai'lu'kou
仙葫盘古路口,xian'hu'pan'gu'lu'kou
仙葫桥北,xian'hu'qiao'bei
仙葫区管委,xian'hu'qu'guan'wei
仙葫铁路桥,xian'hu'tie'lu'qiao
仙葫西区路口,xian'hu'xi'qu'lu'kou
祥宾滨湖路口,xiang'bin'bin'hu'lu'kou
祥宾金湖路口,xiang'bin'jin'hu'lu'kou
祥宾路中,xiang'bin'lu'zhong
祥宾厢竹路口,xiang'bin'xiang'zhu'lu'kou
相思湖东大学路口,xiang'si'hu'dong'da'xue'lu'kou
相思湖农贸市场,xiang'si'hu'nong'mao'shi'chang
相思湖西江北路口,xiang'si'hu'xi'jiang'bei'lu'kou
相思湖西路北,xiang'si'hu'xi'lu'bei
相思湖西路中,xiang'si'hu'xi'lu'zhong
厢竹长湖路口,xiang'zhu'chang'hu'lu'kou
厢竹大道北,xiang'zhu'da'dao'bei
厢竹大道中,xiang'zhu'da'dao'zhong
厢竹立交,xiang'zhu'li'jiao
厢竹南梧立交,xiang'zhu'nan'wu'li'jiao
厢竹云景路口,xiang'zhu'yun'jing'lu'kou
小鸡村,xiao'ji'cun
新城福利厂,xin'cheng'fu'li'chang
新和平商场,xin'he'ping'shang'chang
新联村口,xin'lian'cun'kou
新民保爱路口,xin'min'bao'ai'lu'kou
新民东葛路口,xin'min'dong'ge'lu'kou
新民公园路口,xin'min'gong'yuan'lu'kou
新民民乐路口,xin'min'min'yue'lu'kou
新民民主路口,xin'min'min'zhu'lu'kou
新民七星路口,xin'min'qi'xing'lu'kou
新民桃源路口,xin'min'tao'yuan'lu'kou
新塘桥,xin'tang'qiao
新屋菜市,xin'wu'cai'shi
新兴苑,xin'xing'yuan
新秀公园,xin'xiu'gong'yuan
心圩,xin'xu
新阳北大路口,xin'yang'bei'da'lu'kou
新阳立交,xin'yang'li'jiao
新阳龙腾路口,xin'yang'long'teng'lu'kou
新阳鲁班路口,xin'yang'lu'ban'lu'kou
新阳路水街市场,xin'yang'lu'shui'jie'shi'chang
新阳明秀路口,xin'yang'ming'xiu'lu'kou
新阳市场,xin'yang'shi'chang
新阳站,xin'yang'zhan
新营房,xin'ying'fang
新竹鲤湾路口,xin'zhu'li'wan'lu'kou
新竹路东,xin'zhu'lu'dong
新竹思贤路口,xin'zhu'si'xian'lu'kou
新竹园湖路口,xin'zhu'yuan'hu'lu'kou
星光白沙路口,xing'guang'bai'sha'lu'kou
星光淡村路口,xing'guang'dan'cun'lu'kou
星光福建路口,xing'guang'fu'jian'lu'kou
星光亭洪路口,xing'guang'ting'hong'lu'kou
星湖北二里路口,xing'hu'bei'er'li'lu'kou
星湖北一里路口,xing'hu'bei'yi'li'lu'kou
兴宁区政府,xing'ning'qu'zheng'fu
兴望路,xing'wang'lu
兴望路中,xing'wang'lu'zhong
兴望望州路口,xing'wang'wang'zhou'lu'kou
行政审批大厅,xing'zheng'shen'pi'da'ting
雄塑公司,xiong'su'gong'si
秀安秀厢路口,xiu'an'xiu'xiang'lu'kou
秀灵路北,xiu'ling'lu'bei
秀灵路南,xiu'ling'lu'nan
秀灵路中,xiu'ling'lu'zhong
秀灵明秀路口,xiu'ling'ming'xiu'lu'kou
秀灵农院路口,xiu'ling'nong'yuan'lu'kou
秀灵西一里东,xiu'ling'xi'yi'li'dong
秀灵西一里路口,xiu'ling'xi'yi'li'lu'kou
秀灵秀厢路口,xiu'ling'xiu'xiang'lu'kou
秀厢北湖路口,xiu'xiang'bei'hu'lu'kou
秀厢大道东,xiu'xiang'da'dao'dong
秀厢大道西,xiu'xiang'da'dao'xi
秀厢大道中,xiu'xiang'da'dao'zhong
秀厢科园路口,xiu'xiang'ke'yuan'lu'kou
秀厢鲁班路口,xiu'xiang'lu'ban'lu'kou
秀厢市场,xiu'xiang'shi'chang
秀厢天雹路口,xiu'xiang'tian'bao'lu'kou
秀厢秀安路口,xiu'xiang'xiu'an'lu'kou
秀厢秀灵路口,xiu'xiang'xiu'ling'lu'kou
畜牧所路口,xu'mu'suo'lu'kou
畜牧所乳品厂,xu'mu'suo'ru'pin'chang
学校生活区,xue'xiao'sheng'huo'qu
雅里上坡,ya'li'shang'po
燕敦江南路口,yan'dun'jiang'nan'lu'kou
燕敦星光路口,yan'dun'xing'guang'lu'kou
燕子岭,yan'zi'ling
燕子岭下,yan'zi'ling'xia
阳工电缆,yang'gong'dian'lan
阳光新城,yang'guang'xin'cheng
药用植物园,yao'yong'zhi'wu'yuan
药用植物园北,yao'yong'zhi'wu'yuan'bei
医科大二附院,yi'ke'da'er'fu'yuan
医科大学,yi'ke'da'xue
医科大一附院,yi'ke'da'yi'fu'yuan
医科大肿瘤医院,yi'ke'da'zhong'liu'yi'yuan
银海德政路口,yin'hai'de'zheng'lu'kou
银海建设路口,yin'hai'jian'she'lu'kou
银海永兴路口,yin'hai'yong'xing'lu'kou
银沙东风路口,yin'sha'dong'feng'lu'kou
银沙锦绣路口,yin'sha'jin'xiu'lu'kou
银沙五象路口,yin'sha'wu'xiang'lu'kou
迎宾滨湖路口,ying'bin'bin'hu'lu'kou
迎宾金洲路口,ying'bin'jin'zhou'lu'kou
英华柳沙路口东,ying'hua'liu'sha'lu'kou'dong
英华路中,ying'hua'lu'zhong
英华青山路口,ying'hua'qing'shan'lu'kou
迎凯朋云路口,ying'kai'peng'yun'lu'kou
迎凯朋展路口,ying'kai'peng'zhan'lu'kou
迎凯星光路口,ying'kai'xing'guang'lu'kou
永和北大路口,yong'he'bei'da'lu'kou
永和北际路口,yong'he'bei'ji'lu'kou
永和朝阳小区,yong'he'chao'yang'xiao'qu
永和村,yong'he'cun
永和桥北,yong'he'qiao'bei
永和桥南,yong'he'qiao'nan
永宏小区,yong'hong'xiao'qu
邕江大学,yong'jiang'da'xue
邕江桥北,yong'jiang'qiao'bei
邕江桥南,yong'jiang'qiao'nan
邕灵八尺江路口,yong'ling'ba'chi'jiang'lu'kou
邕灵那美路口,yong'ling'na'mei'lu'kou
邕灵清泉路口,yong'ling'qing'quan'lu'kou
邕宁工商银行,yong'ning'gong'shang'yin'hang
邕宁汽车总站,yong'ning'qi'che'zong'zhan
邕宁区财政局,yong'ning'qu'cai'zheng'ju
邕宁区工商局,yong'ning'qu'gong'shang'ju
邕宁区建设局,yong'ning'qu'jian'she'ju
邕宁区交通局,yong'ning'qu'jiao'tong'ju
邕宁区人民医院,yong'ning'qu'ren'min'yi'yuan
邕宁征稽所,yong'ning'zheng'ji'suo
邕武立交,yong'wu'li'jiao
邕州老街,yong'zhou'lao'jie
友爱北立交,you'ai'bei'li'jiao
友爱大树脚,you'ai'da'shu'jiao
友爱广场,you'ai'guang'chang
友爱衡阳路口,you'ai'heng'yang'lu'kou
友爱华东路口,you'ai'hua'dong'lu'kou
友爱立交,you'ai'li'jiao
友爱利客隆,you'ai'li'ke'long
友爱民生路口,you'ai'min'sheng'lu'kou
友爱民乐路口,you'ai'min'yue'lu'kou
友爱民主路口,you'ai'min'zhu'lu'kou
友爱明秀路口,you'ai'ming'xiu'lu'kou
友爱南棉路口,you'ai'nan'mian'lu'kou
友爱人民路口,you'ai'ren'min'lu'kou
友爱中华路口,you'ai'zhong'hua'lu'kou
友谊白沙路口,you'yi'bai'sha'lu'kou
友谊大王滩路口,you'yi'da'wang'tan'lu'kou
友谊洞岭路口,you'yi'dong'ling'lu'kou
友谊金凯路口,you'yi'jin'kai'lu'kou
预备役高炮团,yu'bei'yi'gao'pao'tuan
玉洞,yu'dong
玉洞市场,yu'dong'shi'chang
玉洞收费站,yu'dong'shou'fei'zhan
玉洞站,yu'dong'zhan
园湖东葛路口,yuan'hu'dong'ge'lu'kou
园湖东一里路口,yuan'hu'dong'yi'li'lu'kou
园湖建政路口,yuan'hu'jian'zheng'lu'kou
园湖民主路口,yuan'hu'min'zhu'lu'kou
园湖民族路口,yuan'hu'min'zu'lu'kou
园湖明秀路口,yuan'hu'ming'xiu'lu'kou
园湖新竹路口,yuan'hu'xin'zhu'lu'kou
园湖中华路口,yuan'hu'zhong'hua'lu'kou
园艺路口,yuan'yi'lu'kou
月湾长湖路口,yue'wan'chang'hu'lu'kou
越秀会展路口,yue'xiu'hui'zhan'lu'kou
越秀路中,yue'xiu'lu'zhong
越秀青秀路口,yue'xiu'qing'xiu'lu'kou
云贵停车场,yun'gui'ting'che'chang
云景枫林路口,yun'jing'feng'lin'lu'kou
云景凤岭路口,yun'jing'feng'ling'lu'kou
云景景秀路口,yun'jing'jing'xiu'lu'kou
云景路,yun'jing'lu
云景厢竹路口,yun'jing'xiang'zhu'lu'kou
皂角村,zao'jiao'cun
朝阳济南路口,zhao'yang'ji'nan'lu'kou
振宁花园,zhen'ning'hua'yuan
峙村,zhi'cun
植物江北路口,zhi'wu'jiang'bei'lu'kou
植物路中,zhi'wu'lu'zhong
智兴仁和路口,zhi'xing'ren'he'lu'kou
中华安宁路口,zhong'hua'an'ning'lu'kou
中华北大路口,zhong'hua'bei'da'lu'kou
中华北湖路口,zhong'hua'bei'hu'lu'kou
中华三支路口,zhong'hua'san'zhi'lu'kou
中华一支路口,zhong'hua'yi'zhi'lu'kou
中华友爱路口,zhong'hua'you'ai'lu'kou
中华园湖路口,zhong'hua'yuan'hu'lu'kou
重机厂,zhong'ji'chang
重机厂生活区,zhong'ji'chang'sheng'huo'qu
中老路,zhong'lao'lu
众乐家私城,zhong'le'jia'si'cheng
中山南环路口,zhong'shan'nan'huan'lu'kou
中湾路口,zhong'wan'lu'kou
中纤里路中,zhong'xian'li'lu'zhong
中兴桥北,zhong'xing'qiao'bei
中兴桥南,zhong'xing'qiao'nan
中学路口,zhong'xue'lu'kou
中尧路西,zhong'yao'lu'xi
中尧南路口,zhong'yao'nan'lu'kou
中医一附院,zhong'yi'yi'fu'yuan
竹岭立交,zhu'ling'li'jiao
竹排冲,zhu'pai'chong
竹塘葛园路口,zhu'tang'ge'yuan'lu'kou
竹塘广园路口,zhu'tang'guang'yuan'lu'kou
竹塘平湖路口,zhu'tang'ping'hu'lu'kou
竹溪汇歌路口,zhu'xi'hui'ge'lu'kou
竹溪江北路口,zhu'xi'jiang'bei'lu'kou
竹溪立交,zhu'xi'li'jiao
竹溪青山路口,zhu'xi'qing'shan'lu'kou
竹溪苑,zhu'xi'yuan
竹溪越秀路口,zhu'xi'yue'xiu'lu'kou
竹园广园路口,zhu'yuan'guang'yuan'lu'kou
壮锦白沙路口,zhuang'jin'bai'sha'lu'kou
壮锦槎路口,zhuang'jin'cha'lu'kou
壮锦大道北,zhuang'jin'da'dao'bei
壮锦大道中,zhuang'jin'da'dao'zhong
壮锦旱塘路口,zhuang'jin'han'tang'lu'kou
壮锦那洪路口,zhuang'jin'na'hong'lu'kou
壮锦南站路口,zhuang'jin'nan'zhan'lu'kou
壮锦行政路口,zhuang'jin'xing'zheng'lu'kou
子垒村,zi'lei'cun
总部创新路口,zong'bu'chuang'xin'lu'kou
总部东十路口,zong'bu'dong'shi'lu'kou
总部可利路口,zong'bu'ke'li'lu'kou
总部路,zong'bu'lu
纵览线缆公司,zong'lan'xian'lan'gong'si
